Console,Date,Search
xbox scorpio,2015-06-21,0
xbox scorpio,2015-06-28,0
xbox scorpio,2015-07-05,0
xbox scorpio,2015-07-12,0
xbox scorpio,2015-07-19,0
xbox scorpio,2015-07-26,0
xbox scorpio,2015-08-02,0
xbox scorpio,2015-08-09,0
xbox scorpio,2015-08-16,0
xbox scorpio,2015-08-23,0
xbox scorpio,2015-08-30,0
xbox scorpio,2015-09-06,0
xbox scorpio,2015-09-13,0
xbox scorpio,2015-09-20,0
xbox scorpio,2015-09-27,0
xbox scorpio,2015-10-04,0
xbox scorpio,2015-10-11,0
xbox scorpio,2015-10-18,0
xbox scorpio,2015-10-25,0
xbox scorpio,2015-11-01,0
xbox scorpio,2015-11-08,0
xbox scorpio,2015-11-15,0
xbox scorpio,2015-11-22,0
xbox scorpio,2015-11-29,0
xbox scorpio,2015-12-06,0
xbox scorpio,2015-12-13,0
xbox scorpio,2015-12-20,0
xbox scorpio,2015-12-27,0
xbox scorpio,2016-01-03,0
xbox scorpio,2016-01-10,0
xbox scorpio,2016-01-17,0
xbox scorpio,2016-01-24,0
xbox scorpio,2016-01-31,0
xbox scorpio,2016-02-07,0
xbox scorpio,2016-02-14,0
xbox scorpio,2016-02-21,0
xbox scorpio,2016-02-28,0
xbox scorpio,2016-03-06,0
xbox scorpio,2016-03-13,0
xbox scorpio,2016-03-20,0
xbox scorpio,2016-03-27,0
xbox scorpio,2016-04-03,0
xbox scorpio,2016-04-10,0
xbox scorpio,2016-04-17,0
xbox scorpio,2016-04-24,0
xbox scorpio,2016-05-01,0
xbox scorpio,2016-05-08,0
xbox scorpio,2016-05-15,0
xbox scorpio,2016-05-22,8
xbox scorpio,2016-05-29,15
xbox scorpio,2016-06-05,10
xbox scorpio,2016-06-12,100
ps4.5,2015-06-21,0
ps4.5,2015-06-28,0
ps4.5,2015-07-05,0
ps4.5,2015-07-12,0
ps4.5,2015-07-19,0
ps4.5,2015-07-26,0
ps4.5,2015-08-02,0
ps4.5,2015-08-09,0
ps4.5,2015-08-16,0
ps4.5,2015-08-23,0
ps4.5,2015-08-30,0
ps4.5,2015-09-06,0
ps4.5,2015-09-13,0
ps4.5,2015-09-20,0
ps4.5,2015-09-27,0
ps4.5,2015-10-04,0
ps4.5,2015-10-11,0
ps4.5,2015-10-18,0
ps4.5,2015-10-25,0
ps4.5,2015-11-01,0
ps4.5,2015-11-08,0
ps4.5,2015-11-15,0
ps4.5,2015-11-22,0
ps4.5,2015-11-29,0
ps4.5,2015-12-06,0
ps4.5,2015-12-13,0
ps4.5,2015-12-20,0
ps4.5,2015-12-27,0
ps4.5,2016-01-03,0
ps4.5,2016-01-10,0
ps4.5,2016-01-17,0
ps4.5,2016-01-24,0
ps4.5,2016-01-31,0
ps4.5,2016-02-07,0
ps4.5,2016-02-14,0
ps4.5,2016-02-21,0
ps4.5,2016-02-28,0
ps4.5,2016-03-06,0
ps4.5,2016-03-13,6
ps4.5,2016-03-20,18
ps4.5,2016-03-27,32
ps4.5,2016-04-03,20
ps4.5,2016-04-10,12
ps4.5,2016-04-17,22
ps4.5,2016-04-24,15
ps4.5,2016-05-01,11
ps4.5,2016-05-08,11
ps4.5,2016-05-15,11
ps4.5,2016-05-22,10
ps4.5,2016-05-29,9
ps4.5,2016-06-05,11
ps4.5,2016-06-12,16
nintendo nx,2015-06-21,14
nintendo nx,2015-06-28,28
nintendo nx,2015-07-05,23
nintendo nx,2015-07-12,17
nintendo nx,2015-07-19,14
nintendo nx,2015-07-26,30
nintendo nx,2015-08-02,15
nintendo nx,2015-08-09,15
nintendo nx,2015-08-16,15
nintendo nx,2015-08-23,16
nintendo nx,2015-08-30,15
nintendo nx,2015-09-06,19
nintendo nx,2015-09-13,16
nintendo nx,2015-09-20,16
nintendo nx,2015-09-27,15
nintendo nx,2015-10-04,14
nintendo nx,2015-10-11,24
nintendo nx,2015-10-18,33
nintendo nx,2015-10-25,22
nintendo nx,2015-11-01,20
nintendo nx,2015-11-08,19
nintendo nx,2015-11-15,19
nintendo nx,2015-11-22,20
nintendo nx,2015-11-29,34
nintendo nx,2015-12-06,28
nintendo nx,2015-12-13,26
nintendo nx,2015-12-20,25
nintendo nx,2015-12-27,27
nintendo nx,2016-01-03,34
nintendo nx,2016-01-10,29
nintendo nx,2016-01-17,40
nintendo nx,2016-01-24,39
nintendo nx,2016-01-31,32
nintendo nx,2016-02-07,28
nintendo nx,2016-02-14,27
nintendo nx,2016-02-21,37
nintendo nx,2016-02-28,42
nintendo nx,2016-03-06,38
nintendo nx,2016-03-13,38
nintendo nx,2016-03-20,59
nintendo nx,2016-03-27,44
nintendo nx,2016-04-03,35
nintendo nx,2016-04-10,38
nintendo nx,2016-04-17,41
nintendo nx,2016-04-24,89
nintendo nx,2016-05-01,44
nintendo nx,2016-05-08,35
nintendo nx,2016-05-15,34
nintendo nx,2016-05-22,30
nintendo nx,2016-05-29,29
nintendo nx,2016-06-05,29
nintendo nx,2016-06-12,47
